droga,marca,presentacion,laboratorio,precio
abacavir,,20mg/ml,GlaxoSmithKline,16880.41
abacavir,VIROCAVIR,300 mg comp.rec.x 60,Savant Pharma,9029.6
abacavir,ABACAVIR ELEA,300 mg comp.rec.x 60,Elea,106983.97
abacavir,ZIAGENAVIR,300 mg comp.rec.x 60,GlaxoSmithKline,813168.06
abacavir,FILABAC,300 mg comp.x 60,GP Pharm,187074.73
abacavir,,x 240 ml,LKM Onco/Especi,132048.59
"abacavir,",,rec.x 30,Trb-Pharma,24500.0
"abacavir,",,rec.x 30,Elea,368011.24
"abacavir,",,rec.x 30,Richmond,375540.58
"abacavir,",,rec.x 30,LKM Onco/Especi,1116236.0
"abacavir,",,rec.x 30,GlaxoSmithKline,1445839.64
"abacavir,",,rec.x 60,GlaxoSmithKline,82958.94
abatacept,,125 mg,,4777257.05
abatacept,,250 mg,,2166449.74
abemaciclib,VERZENIO,100 mg comp.x 14,Raffo,2740393.64
abemaciclib,VERZENIO,150 mg comp.x 14,Raffo,2740393.64
abemaciclib,VERZENIO,200 mg comp.x 14,Raffo,2740393.64
abemaciclib,VERZENIO,50 mg comp.x 14,Raffo,2740393.64
"abiraterona,acetato",REXINTH,250 mg comp.rec.x 120,Richmond,11109823.11
"abiraterona,acetato",DINOGARED,250 mg comp.x 120,Savant Generic,4458857.48
"abiraterona,acetato",ROTERONA,250 mg comp.x 120,Varifarma,8032906.37
"abiraterona,acetato",XATERON,250 mg comp.x 120,Eczane,8467799.88
"abiraterona,acetato",,250 mg comp.x 120,,9365746.6
"abiraterona,acetato",BIRAT,250 mg comp.x 120,Everex,9444988.18
"abiraterona,acetato",TYGARONA,250 mg comp.x 120,IMA,11031234.75
"abiraterona,acetato",BITERA,250 mg comp.x 120,Tuteur,11037652.26
"abiraterona,acetato",ABIRATERONA GLENMARK,250 mg comp.x 120,Glenmark,11039636.7
"abiraterona,acetato",KESTAVA,250 mg comp.x 120,Bioprofarma Bag,11078454.48
"abiraterona,acetato",ENORDEN,250 mg comp.x 120,Finadiet,11195346.5
"abiraterona,acetato",TEBIRAN,250 mg comp.x 120,Aspen,11847216.97
"abiraterona,acetato",JAVULAS,250 mg comp.x 120,Kemex,12326772.72
"abiraterona,acetato",,250 mg comp.x 120,,12439577.82
"abiraterona,acetato",ABIRATERON-A,250 mg comp.x 120,Lafedar,12556205.48
"abiraterona,acetato",ZYVALIX,250 mg comp.x 120,LKM Onco/Especi,12695479.0
"abiraterona,acetato",ZYVALIX PLUS,500 mg comp.x 60,LKM Onco/Especi,7115094.0
"abiraterona,acetato",ZYTIGA,500 mg comp.x 60,Janssen-Cilag,12403547.06
"abiraterona,acetato",,ASTRODIL comp.x 120,Teva argentina,6574464.12
abrocitinib,CIBINQO,100 mg comp.rec.x 28,Pfizer,3472885.93
abrocitinib,CIBINQO,200 mg comp.rec.x 28,Pfizer,5903906.05
acalabrutinib,,100 mg,AstraZeneca,18167643.74
aceite,,1 g caps.x 60,Raffo,69842.84
aceite,,1 g caps.x 90,Raffo,101683.9
aceite,,de Salvia chia CHIACAPS PREMIUM caps.x 30,Elea,17739.94
aceite,,de Salvia chia CHIACAPS PREMIUM caps.x 60,Elea,29724.21
aceites,,x 310 g,Omicron,22100.0
acenocumarol,"SINTROM 12.940,70",1 mg comp.x 20,Siegfried,666.44
acenocumarol,SAXIOM,4 mg comp.x 20,Duncan,24542.28
acenocumarol,"ACENOCOUMAROL ROSPAW4 30.021,26",mg comp.x 20,Rospaw,1990.72
acenocumarol,,4 mg comp.x 20,,2159.91
acenocumarol,"SINTROM 39.635,02",4 mg comp.x 20,Siegfried,2296.03
acenocumarol,"AZECAR 53.794,59",4 mg comp.x 30,BagÃ³,3754.71
acetazolamida,"ACETA 20.530,00",250 mg comp.x 20,Novoplos,2308.07
acetazolamida,"DIABO 47.500,00",250 mg comp.x 50,Max Vision,3224.86
acetilcarnitina,"NEUREX 85.664,65",500 mg comp.x 40,Beta,25521.46
acetilcarnitina,,"NEUROACTIL comp.x 30 76.711,40",BagÃ³,16646.61
acetilcisteÃ­na,,200 mg,Elea,13192.0
acetilcisteÃ­na,,200 mg,Casasco,9275.13
acetilcisteÃ­na,,200 mg,Siegfried,5473.33
acetilcisteÃ­na,,600 mg comp.disp.x 10,,5559.5
acetilcisteÃ­na,,600 mg comp.disp.x 20,,9420.56
acetilcisteÃ­na,"DOSOMUK 16.300,82",600 mg comp.dispers.x 10,Beta,6288.34
acetilcisteÃ­na,"DOSOMUK 26.601,13",600 mg comp.dispers.x 20,Beta,10643.19
acetilcisteÃ­na,MAXVAN,600 mg comp.efer.x 10,Vannier,1433.0
acetilcisteÃ­na,"ACETILCISTEINA TEVA 12.347,54",600 mg comp.efer.x 10,Teva argentina,4579.08
acetilcisteÃ­na,BRONCOLIUM,600 mg comp.efer.x 10,Temis-LostalÃ³,16709.61
acetilcisteÃ­na,"BRONCOLIUM 19.925,94",600 mg comp.efer.x 12,Temis-LostalÃ³,6926.85
acetilcisteÃ­na,MAXVAN,600 mg comp.efer.x 20,Vannier,1122.0
acetilcisteÃ­na,"BRONCOLIUM 33.031,78",600 mg comp.efer.x 24,Temis-LostalÃ³,11392.59
acetilcisteÃ­na,,600 mg,ISA,11005.0
acetilcisteÃ­na,,600 600 mg,Denver Farma,5410.34
acetilcisteÃ­na,,600 mg,Baliarda,15904.52
acetilcisteÃ­na,,600 mg,Lazar,16168.46
acetilcisteÃ­na,,600 mg,Casasco,5798.24
acetilcisteÃ­na,,600 mg,Fortbenton,18092.21
acetilcisteÃ­na,,600 mg,Casasco,9432.76
acetilcisteÃ­na,,600 mg,Lazar,7992.82
acetilcisteÃ­na,,600 mg,Fortbenton,29384.67
acetilcisteÃ­na,,600 mg,Siegfried,6163.79
acetilcisteÃ­na,,600 mg,Siegfried,10017.54
acetilcisteÃ­na,,600 mg,Siegfried,26544.78
acetilcisteÃ­na,,600 mg,Siegfried,12615.31
acetilcisteÃ­na,,100 ml,,13101.1
acetilcisteÃ­na,,100 ml,Lazar,4398.55
acetilcisteÃ­na,,100 ml,Casasco,4800.97
acetilcisteÃ­na,,100 ml,Siegfried,5078.84
"acetilcisteÃ­na,",,"paracet., asoc ACEMUK GRIP comp.eferv.x 10",Siegfried,10063.47
"acetilcisteÃ­na,",,"paracet., asoc ACEMUK DIA Y NOCHE comp.eferv.x 16 14.862,42",Siegfried,6485.68
"acetilcisteÃ­na,",,"tirotricina, a ACEMUK L comp.x 20 13.206,12",Siegfried,4863.84
"acetilsalic.,Ã¡c,",,mg,Gador,64382.08
"acetilsalic.,Ã¡c,",,mg,Gador,57093.89
"acetilsalic.,Ã¡c,",,mg,Gador,60738.26
"acetilsalicÃ­lico,Ã¡c",,100 mg,Vent 3,37818.0
"acetilsalicÃ­lico,Ã¡c","NUEVAPINA CARDIO 8.486,14",100 mg comp.x 50,Savant Generic,2199.52
"acetilsalicÃ­lico,Ã¡c",NUEVAPINA,100 100 mg comp.x 98,Savant Generic,5940.29
"acetilsalicÃ­lico,Ã¡c",ASPIRINA 100 VENT-3,100mg,Vent 3,5663.9
"acetilsalicÃ­lico,Ã¡c",ASPIRINA 500 VENT-3,500 mg comp.x 30,Vent 3,2422.1
"acetilsalicÃ­lico,Ã¡c",ASPIRINA 500 VENT-3,500mg,Vent 3,10000.0
"acetilsalicÃ­lico,Ã¡c",,ISASPIRINA aspirina prev.comp.x 60,ISA,2607.9
"acetilsalicÃ­lico,Ã¡c",,"ASPIRINA PREVENT comp.cub.enterica x 20 4.352,65",Bayer (PH),1119.35
"acetilsalicÃ­lico,Ã¡c",,"ASPIRINA PREVENT comp.cub.enterica x 50 9.503,36",Bayer (PH),2443.9
"acetilsalicÃ­lico,Ã¡c",,"ASPIRINA PREVENT 325 comp.cub.enterica x 60 13.519,64",Bayer (PH),4044.65
"acetilsalicÃ­lico,Ã¡c",,BAYASPIRINA FORTE comp.x 20,Bayer Consumer,5700.0
"acetilsalicÃ­lico,Ã¡c",,ASPIRINETAS comp.x 28,Bayer Consumer,1948.0
"acetilsalicÃ­lico,Ã¡c",,BAYASPIRINA comp.x 30,Bayer Consumer,6590.0
"acetilsalicÃ­lico,Ã¡c",,ASPIRINETAS comp.x 98,Bayer Consumer,6780.0
"acetilsalicÃ­lico,Ã¡c.,",,asoc. FALGOS EXPENDEDOR X 25 Bcomp. x 4 x 25 blisters,Elea,63584.56
"acetilsalicÃ­lico,Ã¡c.,",,asoc. RESAQUIT V.L. comp.bicapa x 12,Lazar,8011.32
"acetilsalicÃ­lico,Ã¡c.,",,asoc. RESAQUIT V.L. comp.bicapa x 4,Lazar,2755.68
"acetilsalicÃ­lico,Ã¡c.,",,rec.x 10,Siegfried,6067.84
"acetilsalicÃ­lico,Ã¡c.,",,rec.x 20,Siegfried,12642.01
"acetilsalicÃ­lico,Ã¡c.,",,asoc. FALGOS comp.x 12,Elea,8176.37
"acetilsalicÃ­lico,Ã¡c.,",,asoc. TAFIROL RESACA comp.x 8,,7444.24
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na CAFIASPIRINA PLUS comp.x 20,Bayer Consumer,6400.0
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na CAFIASPIRINA comp.x 30,Bayer Consumer,7600.0
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na ALIKAL expend.sob.x 3 (c/prosp),GlaxoSmithKline,1949.94
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na ALIKAL LIMON expend.sob.x 3(c/prosp),GlaxoSmithKline,1949.94
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na ALIKAL NARANJA expend.sob.x 3(c/prosp),GlaxoSmithKline,1949.94
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na ALIKAL LIMON expend.sob.x 30(c/prosp),GlaxoSmithKline,26699.0
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na ALIKAL NARANJA expend.sob.x 30(c/prosp),GlaxoSmithKline,26699.0
"acetilsalicÃ­lico,Ã¡c.,",,cafeÃ­na ALIKAL expend.sob.x 30(c/prosp),GlaxoSmithKline,26699.0
"acetilsalicÃ­lico,Ã¡c.,",,vit.c BAYASPIRINA C LIMON 240 Mefer.gran.sob.x 12,Bayer Consumer,15700.0
"acetilsalicÃ­lico,Ã¡c.,",,vit.c BAYASPIRINA C LIMON 240 Mefer.gran.sob.x 24,Bayer Consumer,30855.0
"acetilsalicÃ­lico,Ã¡c.,",,vit.c BAYASPIRINA C CALIENTE gran.sob.x 24,Bayer Consumer,40036.01
"acetilsalicÃ­lico,Ã¡c.,",,"vit.c, v CARDIAX comp.x 30",Sidus,13027.0
"acexÃ¡mico,Ã¡c.,",,x 20 g,Teva argentina,9672.12
aciclovir,"XICLOVIR 26.110,50",200 mg comp.rec.x 30,Lazar,5822.5
aciclovir,"LAFEVIR 21.226,27",200 mg comp.x 20,Lafedar,4830.48
aciclovir,"LAFEVIR 39.364,56",200 mg comp.x 40,Lafedar,6380.95
aciclovir,"XICLOVIR 19.106,26",400 mg comp. x 20,Lazar,5324.8
aciclovir,XICLOVIR,400 mg comp. x 40,Lazar,32868.33
aciclovir,"POVIRAL 18.660,00",400 mg comp.x 20,Roemmers,5273.81
aciclovir,"ACERPES 19.716,24",400 mg comp.x 20,Siegfried,5525.2
aciclovir,"POVIRAL 33.384,00",400 mg comp.x 40,Roemmers,10087.13
aciclovir,,5 g,Lafedar,9565.61
aciclovir,,10 g,Medisol,6700.0
aciclovir,,10 g,Klonal,8375.3
aciclovir,,10 g,Biosintex,8488.0
aciclovir,,5 g,Siegfried,8718.47
aciclovir,,x 5 g,Lazar,8780.56
aciclovir,,5 g,Lazar,7438.89
aciclovir,,120 ml,Lazar,20549.16
aciclovir,"POVIRAL 33.368,00",800 mg comp.x 20,Roemmers,8390.4
aciclovir,"ACERPES 36.174,92",800 mg comp.x 20,Siegfried,10137.42
aciclovir,"LAFEVIR 40.527,03",800 mg comp.x 20,Lafedar,8018.22
aciclovir,"POVIRAL 55.244,00",800 mg comp.x 40,Roemmers,15872.3
aciclovir,"LAFEVIR 65.381,22",800 mg comp.x 40,Lafedar,14785.91
aciclovir,,"LISOVYR caps.x 20 22.775,35",Elea,5361.09
aciclovir,LISOVYR,400 comp.rec.x 20,Elea,23249.22
aciclovir,LISOVYR,800 comp.rec.x 20,Elea,10850.12
aciclovir,LISOVYR,800 comp.rec.x 40,Elea,18526.07
aciclovir,,"XICLOVIR 800 comp.x 20 33.674,57",Lazar,8427.1
aciclovir,,"XICLOVIR 800 comp.x 40 56.105,30",Lazar,15974.41
aciclovir,,5 g,Roemmers,8800.0
aciclovir,,10 g,GlaxoSmithKline,1849.59
aciclovir,,5 g,,6999.0
aciclovir,,5 g,,8245.91
aciclovir,,5 g,,8673.71
aciclovir,,120 ml,Elea,8458.32
aciclovir,,x 5 g,Elea,9971.03
aciclovir,,125 ml,Roemmers,20996.0
aciclovir,,10 g,Elea,15409.48
"aciclovir,",,x 5 g,Lazar,15003.86
"aciclovir,",,x 5 g,Elea,3314.06
Ã¡cido,,200 mg comp.disper.x 5,Tuteur,15391870.09
Ã¡cido,,250 mg,Tuteur,161049051.81
Ã¡cido,,50 mg,Tuteur,45404190.51
Ã¡cido,,Omega 3-Ã©steres etÃ­licos OMECAP 90 cÃ¡ps.blandas x 30,Gador,59688.98
acitretina,"NEOTIGASON 142.924,83",10 mg caps.x 30,Teva argentina,19830.14
acitretina,"NEOTIGASON 273.023,94",25 mg caps.x 30,Teva argentina,41766.15
acth,25 UI,"ACTHEL f.a+jer+ag+solv. 143.065,28",GP Pharm,34064.17
acth,40 UI,"ACTHEL gel f.a.+jer+ag. 170.068,34",GP Pharm,38045.16
activador,,50 mg,,10249939.06
adalimumab,MG),HUMIRA AC X 2 (20 20mg/0.2ml jer.prell.x 2,Abbvie,2224090.04
adalimumab,MG),HUMIRA AC X 2 (40 40mg/0.4ml lap.prell.x 2,Abbvie,4448184.34
adalimumab,AMGEVITA,40mg,Amgen,1695440.2
adalimumab,ABRILADA,40mg,Pfizer,1380019.3
adalimumab,HYRIMOZ,40mg,Biosidus S.A.U.,2384177.36
adalimumab,MG),HUMIRA AC X 1 (80 80mg/0.8ml lap.prell.x 1,Abbvie,4669038.83
adapaleno,,30 g,Panalab,32022.39
adapaleno,,30 g,Galderma,49777.23
adapaleno,,x 30 g,CassarÃ¡,20390.0
adapaleno,,x 30 g,Casasco,11774.48
adapaleno,,x 30 g,Oxapharma,29817.92
adapaleno,,x 30 g,AndrÃ³maco,30829.18
adapaleno,,x 30 g,Raymos-Megalabs,31433.66
adapaleno,,x 30 g,Panalab,32022.39
adapaleno,,x 30 g,Galderma,55018.78
adapaleno,,x 30 g,CassarÃ¡,27850.0
adapaleno,,x 30 g,Casasco,14907.73
adapaleno,,x 30 g,Oxapharma,33712.52
adapaleno,,x 30 g,Panalab,34820.7
adapaleno,,x 30 g,AndrÃ³maco,14735.91
adapaleno,,x 30 g,Raymos-Megalabs,39190.16
adapaleno,,x 30 g,Galderma,68474.54
adapaleno,,x 30 g,Lazar,9739.78
adapaleno,,x 30 g,Lazar,11881.35
adapaleno,,x 30 g,Elea,17450.0
"adapaleno,",,x 30 g,Lazar,11531.82
"adapaleno,",,x 30 g,CassarÃ¡,31170.0
"adapaleno,",,x 30 g,Siegfried,37010.09
"adapaleno,",,x 30 g,CassarÃ¡,37060.0
"adapaleno,",,x 30 g,Oxapharma,40925.95
"adapaleno,",,x 30 g,AndrÃ³maco,54144.25
"adapaleno,",,x 30 g,Panalab,62551.25
"adapaleno,",,x 30 g,Galderma,73885.97
"adapaleno,",,x 30 g,Galderma,66606.71
"adapaleno,",,x 45 g,Raymos-Megalabs,54472.76
"adapaleno,",,x 50 g,Panalab,51967.56
"adapaleno,",,x 30 g,Lazar,31092.42
"adapaleno,",,1 g,Panalab,41088.73
"adapaleno,",,30 g,Oxapharma,36254.71
adrenalina,,10 x 1 ml,Biol,35199.24
afatinib,AFATIXANE,20 mg comp.rec.x 28,Eczane,19110993.36
afatinib,,20 mg comp.x 28,,19290238.48
afatinib,AFATIXANE,30 mg comp.rec.x 28,Eczane,16123091.43
afatinib,REGLICAT,30 mg comp.x 28,Elea,8460399.13
afatinib,FANITRIX,30 mg comp.x 28,Tuteur,16497381.89
afatinib,,30 mg comp.x 28,,19797896.63
afatinib,AFATIXANE,40 mg comp.rec.x 28,Eczane,16958423.12
afatinib,REGLICAT,40 mg comp.x 28,Elea,8967836.43
afatinib,FANITRIX,40 mg comp.x 28,Tuteur,17435129.24
afatinib,,40 mg comp.x 28,,23420548.17
aflibercept,,40 mg/ml,Bayer (PH),5108095.65
agomelatina,"VESTIN 54.567,14",25 mg comp.x 28,Gador,24082.62
agomelatina,"VALDOXAN 133.679,18",25 mg comp.x 28,Servier,34989.46
albÂ£mina,,10 ml,Hemoderivados,33610.0
albÂ£mina,,20 ml,Hemoderivados,67219.0
albÂ£mina,,50ml,Hemoderivados,168046.83
albÂ£mina,,x 50 ml,Biofactor,236560.81
albÂ£mina,,x 50 ml,Infinity Pharma,624535.71
albÂ£mina,,1 x 50 ml,CSL Behring,216394.63
albendazol,,x 30 ml,Lafedar,21356.28
albendazol,VERMIZOLE,200 mg comp.x 6,Lafedar,21529.84
albendazol,,x 30 ml,Lafedar,24052.38
albendazol,NEMATEL,400 mg comp.mast.x 3,Elea,11975.05
albendazol,NEMATEL,400 mg comp.mast.x 6,Elea,20109.35
albendazol,VERMICET,400 mg comp.ran. x 3,Lazar,16047.38
albendazol,VERMICET,400 mg comp.ran. x 6,Lazar,26445.79
albendazol,VERMIZOLE,400 mg comp.x 6,Lafedar,33073.99
albendazol,,x 30 ml,Lazar,18657.02
albutrepenonacog,1000 UI,,CSL Behring,8619030.08
albutrepenonacog,500 UI,,CSL Behring,4309515.04
"alcachofa,",,x 45 ml,Biosintex,5660.0
"alcachofa,",,120 ml,,17893.06
"alcachofa,",,40 ml,,8724.42
alcaftadina,,x 3 ml,Abbvie,4688.54
"alcanfor,",,x 150 g,Cabuchi,17926.44
"alcanfor,",,x 45 g,Cabuchi,12522.79
"alcanfor,",,34 g,,10999.9
"alcanfor,",,45 g,Cabuchi,2871.18
"alcanfor,",,60 g,AndrÃ³maco,14534.36
"alcanfor,",,1 ml,Sidus,20107.73
alcohol,,"diclorobencÃ­lico, asoc STREPSILS PLUS CARAMELOScaram.x 8 u. Reckitt Benckis",,5338.41
alcohol,,"diclorobencÃ­lico, asoc STREPSILS CARAMELOS Menta Fuerte x 8 u. Reckitt Benckis",,266.0
alcohol,,"diclorobencÃ­lico, asoc STREPSILS CARAMELOS Miel y LimÃ³n x 8 u. Reckitt Benckis",,4651.53
alcohol,,"diclorobencÃ­lico, asoc STREPSILS CARAMELOS Naranja y Vit.C x 8 u. Reckitt Benckis",,4430.03
alcohol,,20 ml,Dallas,9932.75
alcohol,,10 ml,,1235.89
alectinib,,150 mg,Roche,20455234.94
alendronato,BERLEX,70 mg comp.x 4,Duncan,6885.11
alendronato,,70 mg comp.x 4,,5432.5
alendronato,"ALENATO 15.822,29",70 mg comp.x 4,Siegfried,4293.12
alendronato,"SILIDRAL 15.929,66",70 70 mg comp.x 4,Ariston,5527.58
alendronato,"OSTEOFENE 18.591,71",70 mg comp.x 4,Rontag,3991.95
alendronato,"BREK 19.100,00",70 mg comp.x 4,Trb-Pharma,6168.0
alendronato,"FINDECLIN 21.701,02",70 mg comp.x 4,Finadiet,5913.99
alendronato,"ARENDAL 26.024,95",70 mg comp.x 4,Teva argentina,7875.61
alendronato,"MARVIL 26.552,51",70 mg comp.x 4,Gador,7911.16
alendronato,"REGENESIS 28.171,07",70 mg comp.x 4,Elea,7733.94
alendronato,,70 mg comp.x 8,,7292.64
alendronato,"ALENATO 28.552,12",70 mg comp.x 8,Siegfried,7747.28
alendronato,"FINDECLIN 33.065,50",70 mg comp.x 8,Finadiet,9017.72
alfa,,rec.x 100,Fresenius Kabi,740180.64
alfa-1-antitripsina,,20 ml,,7858387.23
alfa-1-antitripsina,,1 x 50 ml,Tuteur,7858427.15
alfatradiol,,200 ml,Galderma,18810.5
alirocumab,,150 mg,Sanofi-Aventis,1669774.58
alirocumab,,75 mg,Sanofi-Aventis,1669774.58
allopurinol,"ALLOPURINOL 100 CRAVERI 9.195,60",100 mg comp.x 30,Craveri,1747.25
allopurinol,"ALLOPURINOL GADOR 10.686,85",100 mg comp.x 30,Gador,1538.19
allopurinol,"ALLOPURINOL 100 CRAVERI 16.997,39",100 mg comp.x 60,Craveri,3040.72
allopurinol,"ALLOPURINOL GADOR 20.130,05",100 mg comp.x 60,Gador,2764.47
allopurinol,"ALLOPURINOL CRAVERI RETAR 19.596,76",300 mg comp.lib.prol.x20,Craveri,3768.7
allopurinol,"ALLOPURINOL CRAVERI RETAR 35.835,08",300 mg comp.lib.prol.x50,Craveri,6825.64
allopurinol,"PURITENK 14.310,81",300 mg comp.x 20,Biotenk,2250.45
allopurinol,"ALLOPURINOL 300 CRAVERI 18.984,39",300 mg comp.x 20,Craveri,3020.81
allopurinol,ALFADIMAN,300 mg comp.x 30,Lazar,14928.69
allopurinol,"ALLOPURINOL HOUDE 15.069,83",300 mg comp.x 30,Ariston,2740.58
allopurinol,PURITENK,300 mg comp.x 30,Biotenk,15315.32
allopurinol,"ALLOPURINOL 300 CRAVERI 20.454,42",300 mg comp.x 30,Craveri,3905.83
allopurinol,"ALLOPURINOL GADOR 24.542,09",300 mg comp.x 30,Gador,3601.55
allopurinol,"ALLOPURINOL 300 CRAVERI 32.055,73",300 mg comp.x 40,Craveri,4802.73
allopurinol,"ALLOPURINOL 300 CRAVERI 35.854,99",300 mg comp.x 60,Craveri,5914.9
allopurinol,"ALLOPURINOL GADOR 45.633,49",300 mg comp.x 60,Gador,5462.44
allopurinol,,"COLPURIL A RETARD caps.c/microgranulosx 50 26.668,24",Siegfried,5468.86
allopurinol,,"ALLOPURINOL FABRA 300 comp.x 20 14.215,00",Fabra,2819.56
allopurinol,,ALLOPURINOL FABRA 300 comp.x 30,Fabra,14895.0
"allopurinol,",,100 mg comp.rec.x 20,Siegfried,1798.8
"allopurinol,",,"colchicina COLPURIL 300 RETARD caps.lib.prol.x 20 19.453,46",Siegfried,5599.09
"allopurinol,",,"colchicina COLPURIL 300 RETARD caps.lib.prol.x 50 26.550,27",Siegfried,8341.34
"allopurinol,",,"colchicina ARTREX RETARD caps.x 20 19.650,63",Ariston,5219.81
"allopurinol,",,"colchicina ARTREX RETARD caps.x 40 23.732,40",Ariston,7439.51
aloe,,60 g,Pharmatrix,28618.07
aloe,,x 100 g,Pharmatrix,33353.16
aloe,,x 30 ml,Pharmatrix,28618.07
alpelisib,PIQRAY,150 mg comp.rec.x 56,Novartis,12933757.88
alpelisib,PIQRAY,200 mg comp.rec.x 28,Novartis,9796305.89
alpelisib,,rec.x 56,Novartis,12553353.12
alprazolam,TENSIUM,0.25 mg comp.ran.x 30,Baliarda,4606.45
alprazolam,"ALPLAX 5.024,68",0.25 mg comp.x 30,Gador,973.68
alprazolam,"ALPLAX 9.139,94",0.25 mg comp.x 60,Gador,1965.67
alprazolam,"TENSIUM 8.424,50",0.5 mg comp.ran.x 30,Baliarda,2120.08
alprazolam,"TENSIUM 15.379,28",0.5 mg comp.ran.x 60,Baliarda,3738.43
alprazolam,"TRANQUINAL 11.586,95",0.5 mg comp.subl.x 30,BagÃ³,4076.7
alprazolam,"TRANQUINAL 22.895,27",0.5 mg comp.x 100,BagÃ³,6588.27
alprazolam,"BESTROL 5.614,22",0.5 mg comp.x 20,Cetus,1811.2
alprazolam,"PTA 363,10",0.5 mg comp.x 30,Sidus,181.55
alprazolam,KRAMA,0.5 mg comp.x 30,Duncan,2472.16
alprazolam,BECEDE,0.5 0.5 mg comp.x 30,Vannier,6221.22
alprazolam,"EMERAL 7.738,24",0.5 mg comp.x 30,Siegfried,2010.17
alprazolam,"ALPRAZOL 7.831,30",0.5 mg comp.x 30,Casasco,562.83
alprazolam,"TRANQUINAL 7.948,32",0.5 mg comp.x 30,BagÃ³,2245.13
alprazolam,"PRINOX 0.5 MG 7.985,84",0.5 mg comp.x 30,Eurofarma,2017.99
alprazolam,"BESTROL 9.036,46",0.5 mg comp.x 40,Cetus,3047.3
alprazolam,"EMERAL 11.460,65",0.5 mg comp.x 50,Siegfried,2904.55
alprazolam,"TRANQUINAL 12.439,46",0.5 mg comp.x 50,BagÃ³,3245.3
alprazolam,"PRINOX 0.5 MG 12.506,15",0.5 mg comp.x 50,Eurofarma,3009.51
alprazolam,"PTA 631,59",0.5 mg comp.x 60,Sidus,315.8
alprazolam,KRAMA,0.5 mg comp.x 60,Duncan,4555.61
alprazolam,"ALPRAZOLAM DENVER FARMA0.5 12.033,39",mg comp.x 60,Denver Farma,3416.7
alprazolam,"BESTROL 12.277,62",0.5 mg comp.x 60,Cetus,4139.86
alprazolam,"TRANQUINAL 14.333,98",0.5 mg comp.x 60,BagÃ³,4049.42
alprazolam,"ALPRAZOL 14.763,49",0.5 mg comp.x 60,Casasco,3514.41
alprazolam,"NOVAZOLAM 0.50 MG 7.780,00",0.50 mg comp.ran.x 30,Monserrat,1794.57
alprazolam,"NOVAZOLAM 0.50 MG 14.150,00",0.50 mg comp.ran.x 60,Monserrat,3183.11
alprazolam,"AMZIAX 4.695,55",0.50 mg comp.x 10,Soubeiran Chobe,905.91
alprazolam,"ROSPAZ 6.329,04",0.50 mg comp.x 30,Rospaw,1710.13
alprazolam,"AMZIAX 7.522,36",0.50 mg comp.x 30,Soubeiran Chobe,1758.61
alprazolam,,0.50 mg comp.x 30,,1907.14
alprazolam,"XANAX 8.253,39",0.50 mg comp.x 30,Aspen Pharma,1751.54
alprazolam,"ALPLAX 8.418,79",0.50 mg comp.x 30,Gador,2044.8
alprazolam,"ROSPAZ 12.468,75",0.50 mg comp.x 60,Rospaw,3075.61
alprazolam,"AMZIAX 13.732,16",0.50 mg comp.x 60,Soubeiran Chobe,3244.21
alprazolam,,0.50 mg comp.x 60,,3588.38
alprazolam,"XANAX 15.120,18",0.50 mg comp.x 60,Aspen Pharma,3557.1
alprazolam,"ALPLAX 15.393,54",0.50 mg comp.x 60,Gador,3709.99
alprazolam,ALPLAX XR 0.,5mg comp,Gador,2364.38
alprazolam,"ALPLAX XR 12.167,11",1 mg comp.lib.prol.x 20,Gador,2668.37
alprazolam,"NOVAZOLAM 1 MG 11.450,00",1 mg comp.ran.x 30,Monserrat,2662.53
alprazolam,"TENSIUM 12.644,05",1 mg comp.ran.x 30,Baliarda,3246.2
alprazolam,"NOVAZOLAM 1 MG 22.800,00",1 mg comp.ran.x 60,Monserrat,4746.01
alprazolam,"TENSIUM 24.842,88",1 mg comp.ran.x 60,Baliarda,6138.66
alprazolam,"AMZIAX 6.841,60",1 mg comp.x 10,Soubeiran Chobe,1571.38
alprazolam,"TRANQUINAL 35.215,67",1 mg comp.x 100,BagÃ³,10437.49
alprazolam,"BESTROL 8.836,05",1 mg comp.x 20,Cetus,3077.66
alprazolam,"PTA 582,51",1 mg comp.x 30,Sidus,291.26
alprazolam,KRAMA,1 mg comp.x 30,Duncan,6148.27
alprazolam,BECEDE,1 1 mg comp.x 30,Vannier,8954.32
alprazolam,"ROSPAZ 9.129,08",1 mg comp.x 30,Rospaw,2550.85
alprazolam,"AMZIAX 11.216,06",1 mg comp.x 30,Soubeiran Chobe,3067.72
alprazolam,,1 mg comp.x 30,,2949.21
alprazolam,"TRANQUINAL 11.648,45",1 mg comp.x 30,BagÃ³,3751.28
alprazolam,"EMERAL 11.678,62",1 mg comp.x 30,Siegfried,3096.8
alprazolam,"PRINOX 1 MG 11.706,42",1 mg comp.x 30,Eurofarma,3144.99
